Date,Open,High,Low,Close,Adj Close,Volume
2017-09-05,0.0876,0.0876,0.0868,0.087,0.087,157716
2017-09-06,0.0876,0.0876,0.0874,0.0876,0.0876,11704
2017-09-07,0.087,0.0876,0.0866,0.0876,0.0876,281380
2017-09-08,0.0876,0.0876,0.0866,0.0874,0.0874,93900
2017-09-11,0.0864,0.0874,0.0862,0.0872,0.0872,166838
2017-09-12,0.0872,0.0872,0.0862,0.0862,0.0862,31916
2017-09-13,0.0862,0.0872,0.0862,0.0872,0.0872,1003874
2017-09-14,0.087,0.0872,0.087,0.0872,0.0872,2335
2017-09-15,0.0872,0.0874,0.086,0.087,0.087,177118
2017-09-18,0.0868,0.0872,0.0862,0.087,0.087,9076
2017-09-19,0.0868,0.0872,0.0862,0.0868,0.0868,8888
2017-09-20,0.0864,0.0868,0.0862,0.0868,0.0868,30010
2017-09-21,0.0862,0.087,0.0862,0.0868,0.0868,66047
2017-09-22,0.0862,0.087,0.0858,0.087,0.087,709542
2017-09-25,0.0858,0.0866,0.0858,0.086,0.086,7503
2017-09-26,0.0856,0.0868,0.0852,0.086,0.086,160654
2017-09-27,0.0856,0.086,0.0854,0.086,0.086,14163
2017-09-28,0.086,0.086,0.0852,0.086,0.086,152933
2017-09-29,0.086,0.086,0.085,0.085,0.085,68550
2017-10-02,0.086,0.086,0.0804,0.0836,0.0836,480999
2017-10-03,0.0834,0.084,0.0818,0.0838,0.0838,66466
2017-10-04,0.0838,0.0838,0.0818,0.0836,0.0836,11279
2017-10-05,0.0836,0.084,0.0814,0.0838,0.0838,17589
2017-10-06,0.0838,0.0838,0.0816,0.0838,0.0838,10009
2017-10-09,0.083,0.083,0.0824,0.0824,0.0824,7384
2017-10-10,0.0824,0.083,0.081,0.0816,0.0816,41094
2017-10-11,0.0814,0.083,0.0806,0.0828,0.0828,197820
2017-10-12,0.0818,0.082,0.0812,0.082,0.082,3842
2017-10-13,0.0824,0.0824,0.081,0.0822,0.0822,52319
2017-10-16,0.082,0.082,0.082,0.082,0.082,78811
2017-10-17,0.0818,0.0818,0.081,0.0816,0.0816,66644
2017-10-18,0.0812,0.0816,0.0812,0.0816,0.0816,8266
2017-10-19,0.0818,0.0818,0.081,0.0818,0.0818,2317
2017-10-20,0.0818,0.082,0.0816,0.082,0.082,15972
2017-10-23,0.0818,0.082,0.0804,0.082,0.082,109485
2017-10-24,0.082,0.082,0.0802,0.0818,0.0818,133312
2017-10-25,0.0818,0.0826,0.0818,0.0826,0.0826,98583
2017-10-26,0.0816,0.0828,0.081,0.0826,0.0826,27263
2017-10-27,0.0826,0.0826,0.0826,0.0826,0.0826,0
2017-10-30,0.0824,0.0828,0.0818,0.0824,0.0824,5864
2017-10-31,0.0824,0.0824,0.0816,0.0824,0.0824,573019
2017-11-01,0.082,0.0824,0.0818,0.0824,0.0824,54457
2017-11-02,0.0816,0.0824,0.0816,0.082,0.082,42954
2017-11-03,0.0818,0.0822,0.081,0.082,0.082,24810
2017-11-06,0.0814,0.082,0.081,0.082,0.082,83610
2017-11-07,0.082,0.0824,0.0814,0.0824,0.0824,85523
2017-11-08,0.0824,0.0824,0.0818,0.0824,0.0824,36880
2017-11-09,0.0818,0.0826,0.0818,0.082,0.082,150861
2017-11-10,0.0818,0.0828,0.0818,0.0826,0.0826,20027
