Date,Open,High,Low,Close,Adj Close,Volume
2017-09-05,16.57,16.57,16.190001000000002,16.370001000000002,15.848626999999999,4286800
2017-09-06,16.4,16.559998999999998,16.26,16.49,15.964803,5378200
2017-09-07,16.549999,16.639999,16.24,16.35,15.829265,5454800
2017-09-08,16.32,16.48,16.25,16.469998999999998,15.94544,4396900
2017-09-11,16.530001000000002,16.889999,16.530001000000002,16.719998999999998,16.187476999999998,3333000
2017-09-12,16.780001000000002,17.059998999999998,16.719998999999998,17.059998999999998,16.516651,4450900
2017-09-13,17.059998999999998,17.25,17.0,17.17,16.623146,4663500
2017-09-14,17.030001000000002,17.26,17.01,17.16,16.613464,9663900
2017-09-15,17.17,17.200001,16.82,16.860001,16.323021,7764000
2017-09-18,16.860001,17.01,16.75,16.93,16.390791,4365800
2017-09-19,16.84,16.950001,16.52,16.620001000000002,16.090666,5187300
2017-09-20,16.66,16.67,16.42,16.65,16.119707000000002,6571100
2017-09-21,16.67,16.67,16.0,16.0,15.490410999999998,6685000
2017-09-22,16.049999,16.16,15.95,16.15,15.635632999999999,9265300
2017-09-25,16.17,16.299999,16.059998999999998,16.24,15.722766,5927600
2017-09-26,16.24,16.43,16.120001000000002,16.280001000000002,15.761494,3833500
2017-09-27,16.35,16.49,16.15,16.309998999999998,15.790536,5662500
2017-09-28,16.25,16.440001000000002,16.110001,16.15,15.635632999999999,4858500
2017-09-29,16.200001,16.639999,16.200001,16.530001000000002,16.003531,3359300
2017-10-02,16.540001,16.85,16.540001,16.65,16.119707000000002,3178300
2017-10-03,16.74,16.790001,16.65,16.719998999999998,16.187476999999998,3222100
2017-10-04,16.719998999999998,16.870001000000002,16.629998999999998,16.639999,16.110025,3190000
2017-10-05,16.65,16.950001,16.639999,16.9,16.361744,3241200
2017-10-06,16.889999,17.08,16.75,16.879998999999998,16.342384,3871500
2017-10-09,17.0,17.01,16.719998999999998,16.75,16.216524,2160600
2017-10-10,16.83,16.9,16.620001000000002,16.809998999999998,16.274611,2853100
2017-10-11,16.799999,16.969998999999998,16.75,16.85,16.313339000000003,2838200
2017-10-12,16.780001000000002,16.85,16.57,16.76,16.226206,2675900
2017-10-13,16.77,17.209999,16.77,17.059998999999998,16.516651,2643800
2017-10-16,17.0,17.09,16.809998999999998,16.83,16.293976,4069900
2017-10-17,16.709999,16.73,15.99,16.0,15.490410999999998,8238200
2017-10-18,16.0,16.040001,15.33,15.76,15.258054999999999,10949400
2017-10-19,15.75,15.84,15.48,15.83,15.325825,5243100
2017-10-20,15.85,15.98,15.76,15.85,15.345188,4336800
2017-10-23,15.88,16.08,15.42,15.45,14.957927,6725500
2017-10-24,15.53,15.55,15.29,15.35,14.861113000000001,6915700
2017-10-25,15.26,15.38,15.16,15.25,14.764297000000001,4129300
2017-10-26,15.4,15.47,15.22,15.24,14.754617000000001,3305900
2017-10-27,15.23,15.23,14.81,14.91,14.435126,4972600
2017-10-30,14.87,15.06,14.81,14.97,14.493216,3463900
2017-10-31,15.03,15.43,14.99,15.4,14.909519,4555800
2017-11-01,15.48,15.56,15.17,15.31,14.822385999999998,5365100
2017-11-02,15.21,15.21,14.43,14.46,13.999457999999999,10957000
2017-11-03,14.45,14.64,14.24,14.36,13.902644,8917600
2017-11-06,14.38,14.86,14.38,14.52,14.057548,7172100
2017-11-07,14.56,14.77,14.37,14.45,13.989778,5334500
2017-11-08,14.51,14.89,14.48,14.76,14.289903,7242500
2017-11-09,16.860001,17.889999,16.33,16.799999,16.264931,23411200
2017-11-10,16.35,16.559998999999998,15.79,16.309998999999998,15.790536,9268000
2017-11-13,16.280001000000002,16.889999,16.209999,16.75,16.216524,8026400
2017-11-14,16.74,17.1,16.629998999999998,16.950001,16.410154000000002,7131300
2017-11-15,16.9,17.139999,16.690001000000002,16.82,16.284292,8655900
2017-11-16,16.99,17.049999,16.73,16.85,16.313339000000003,5428500
2017-11-17,16.809998999999998,17.18,16.809998999999998,17.049999,16.506969,6776900
2017-11-20,17.15,17.290001,16.93,17.1,16.555376000000003,3835300
2017-11-21,17.129998999999998,17.16,16.84,16.870001000000002,16.332703,4238600
2017-11-22,16.889999,17.1,16.82,16.98,16.439198,3266500
2017-11-24,17.0,17.08,16.9,17.0,16.458559,1062600
2017-11-27,16.98,17.059998999999998,16.709999,17.0,16.458559,4980500
2017-11-28,16.98,17.209999,16.91,17.200001,16.652193,5440200
2017-11-29,17.110001,17.42,17.030001000000002,17.09,16.666819,3870200
2017-11-30,17.17,17.299999,17.07,17.23,16.803352,5098600
2017-12-01,17.23,17.299999,16.690001000000002,17.049999,16.62781,5982700
2017-12-04,17.23,17.639999,17.129998999999998,17.559998999999998,17.125181,6280100
2017-12-05,17.57,17.700001,17.309998999999998,17.639999,17.203198999999998,5659500
2017-12-06,17.639999,17.799999,17.540001,17.629998999999998,17.193448999999998,4449200
2017-12-07,17.559998999999998,17.77,17.559998999999998,17.6,17.164189999999998,3986700
2017-12-08,17.620001000000002,17.809998999999998,17.42,17.780001000000002,17.339735,3912900
