Date,Open,High,Low,Close,Adj Close,Volume
2017-09-05,11.38,11.5,11.16,11.29,11.163689999999999,11130300
2017-09-06,11.4,11.82,11.34,11.73,11.598768,16719900
2017-09-07,11.7,11.79,11.6,11.78,11.648209,10872200
2017-09-08,11.74,11.74,11.09,11.31,11.183468,18652300
2017-09-11,11.31,11.55,11.24,11.49,11.361453,8551600
2017-09-12,11.51,11.76,11.44,11.59,11.460335,8871400
2017-09-13,11.65,12.04,11.65,11.91,11.776753999999999,14818900
2017-09-14,12.0,12.17,11.83,11.93,11.796531,13858600
2017-09-15,11.96,12.07,11.84,12.0,11.865746000000001,11335000
2017-09-18,11.94,12.09,11.87,12.02,11.885523,10070300
2017-09-19,12.09,12.12,11.92,12.0,11.865746000000001,7781800
2017-09-20,12.04,12.53,12.02,12.42,12.281048,15745100
2017-09-21,12.4,12.81,12.31,12.73,12.58758,18559400
2017-09-22,12.65,12.97,12.62,12.79,12.646908999999999,11858700
2017-09-25,12.96,13.25,12.86,13.19,13.042434,10769000
2017-09-26,13.09,13.45,12.97,13.4,13.250084,14915400
2017-09-27,13.45,13.81,13.33,13.73,13.576393,21628000
2017-09-28,13.77,13.95,13.36,13.53,13.37863,19314300
2017-09-29,13.45,13.58,13.3,13.56,13.408296,14510200
2017-10-02,13.2,13.6,13.08,13.59,13.43796,11024600
2017-10-03,13.56,13.76,13.51,13.76,13.606057,9736200
2017-10-04,13.79,14.16,13.78,13.9,13.744491,14323300
2017-10-05,13.91,14.08,13.81,13.88,13.724714,11090000
2017-10-06,13.63,13.84,13.44,13.55,13.398404999999999,7784200
2017-10-09,13.6,13.68,13.46,13.58,13.428070000000002,6952900
2017-10-10,13.74,13.84,13.59,13.62,13.467623000000001,9912500
2017-10-11,13.66,13.73,13.44,13.68,13.526952,7727200
2017-10-12,13.51,13.69,13.47,13.62,13.467623000000001,6869600
2017-10-13,13.77,13.95,13.73,13.75,13.596169,11383000
2017-10-16,13.85,14.12,13.78,13.85,13.695051000000001,11375800
2017-10-17,13.85,13.97,13.65,13.96,13.803819,9219200
2017-10-18,13.93,14.14,13.74,13.77,13.615946,9874300
2017-10-19,13.69,13.89,13.65,13.74,13.586281,7345100
2017-10-20,13.79,13.95,13.74,13.93,13.774154999999999,7477800
2017-10-23,13.92,13.97,13.62,13.63,13.477510999999998,8690500
2017-10-24,13.74,13.86,13.64,13.71,13.556616,12140200
2017-10-25,13.62,13.77,13.34,13.48,13.329188,11255900
2017-10-26,13.52,13.61,13.28,13.56,13.408296,11090900
2017-10-27,13.44,13.81,13.39,13.81,13.655498000000001,9058000
2017-10-30,13.88,14.24,13.84,14.16,14.001582,18830300
2017-10-31,14.12,14.34,13.98,14.22,14.06091,13880300
2017-11-01,14.37,14.89,14.35,14.87,14.703639,17084300
2017-11-02,14.74,15.54,14.71,15.44,15.267261999999999,22530100
2017-11-03,15.5,15.68,15.26,15.58,15.405695000000001,17527100
2017-11-06,15.73,16.35,15.67,16.33,16.147305,23687400
2017-11-07,16.25,16.59,16.120001000000002,16.16,15.979206,17796800
2017-11-08,16.120001000000002,16.120001000000002,15.66,15.75,15.573792999999998,18182200
2017-11-09,15.69,15.9,15.6,15.78,15.603457999999998,13248800
2017-11-10,15.58,15.76,15.41,15.62,15.445248000000001,11447600
2017-11-13,15.62,15.71,15.48,15.55,15.376031,9103700
2017-11-14,15.34,15.35,14.83,14.84,14.72131,14720700
2017-11-15,14.64,14.92,14.5,14.79,14.671710000000001,13358200
2017-11-16,14.76,14.83,14.5,14.52,14.403870999999999,14253300
2017-11-17,14.71,15.19,14.7,15.05,14.929629,10747300
2017-11-20,14.85,14.87,14.43,14.47,14.354269,14094700
2017-11-21,14.53,14.68,14.36,14.52,14.403870999999999,11689600
2017-11-22,14.72,14.97,14.67,14.88,14.760989000000002,20262800
2017-11-24,14.94,15.29,14.92,15.13,15.008989999999999,6794200
