Date,Open,High,Low,Close,Adj Close,Volume
2017-09-05,72.93,73.989998,72.239998,73.379997,73.379997,869800
2017-09-06,73.269997,73.974998,72.035004,73.32,73.32,726000
2017-09-07,73.410004,75.709999,73.139999,73.220001,73.220001,2006600
2017-09-08,73.290001,73.400002,71.440002,71.610001,71.610001,707000
2017-09-11,72.339996,73.160004,72.139999,72.629997,72.629997,780400
2017-09-12,72.900002,73.639999,72.550003,72.949997,72.949997,915000
2017-09-13,72.900002,73.239998,72.309998,73.010002,73.010002,522600
2017-09-14,72.559998,74.690002,72.559998,73.480003,73.480003,645300
2017-09-15,73.370003,75.550003,73.224998,75.489998,75.489998,1440900
2017-09-18,75.5,76.470001,74.199997,74.349998,74.349998,1000800
2017-09-19,74.440002,74.610001,73.635002,74.32,74.32,645500
2017-09-20,74.300003,74.32,69.93,70.32,70.32,2221800
2017-09-21,70.209999,70.720001,69.059998,70.610001,70.610001,1653600
2017-09-22,70.379997,71.57,70.230003,71.199997,71.199997,1035700
2017-09-25,70.639999,70.639999,68.260002,68.660004,68.660004,1932800
2017-09-26,69.0,69.370003,67.697998,68.239998,68.239998,1113300
2017-09-27,69.230003,70.769997,68.650002,70.25,70.25,1041500
2017-09-28,70.25,70.720001,69.57,70.199997,70.199997,883500
2017-09-29,70.199997,71.089996,69.220001,70.68,70.68,1020400
2017-10-02,70.839996,72.059998,70.839996,71.290001,71.290001,801500
2017-10-03,71.519997,71.760002,71.019997,71.389999,71.389999,428600
2017-10-04,71.019997,72.16999799999999,70.528,72.160004,72.160004,642800
2017-10-05,72.239998,72.68,71.110001,71.699997,71.699997,759900
2017-10-06,71.639999,72.800003,71.639999,72.690002,72.690002,607200
2017-10-09,72.650002,72.940002,72.110001,72.660004,72.660004,417900
2017-10-10,72.75,72.809998,71.010002,71.839996,71.839996,986600
2017-10-11,71.900002,73.0,71.900002,72.940002,72.940002,839500
2017-10-12,72.720001,73.07,72.260002,72.360001,72.360001,1233000
2017-10-13,72.58000200000001,73.029999,72.08000200000001,72.389999,72.389999,663400
